feature,p_val,A,fdr,signi
SLC10A4,1.5396667434953928e-127,2.562309950863554,7.698333717476964e-124,True
MAP1B,2.7820659832991126e-111,2.5583124617826627,1.3910329916495563e-107,True
BASP1,5.313401173184662e-79,2.5565370340352214,2.656700586592331e-75,True
ABCB1,2.3998444565709156e-115,2.555980561648973,1.1999222282854578e-111,True
CASZ1,3.137154986667631e-100,2.5528384465569918,1.5685774933338156e-96,True
SLC8A1,9.364801542747282e-135,2.550687134826464,4.682400771373641e-131,True
RUNDC3B,9.703699254488616e-98,2.539189345824175,4.851849627244308e-94,True
NRG1,7.321171468651947e-134,2.533769796024051,3.660585734325974e-130,True
ARL4C,7.83158947701254e-83,2.522285486570597,3.91579473850627e-79,True
MYL7,1.1691816675784745e-113,2.521672998292053,5.845908337892373e-110,True
PLPPR4,2.6375663029456903e-83,2.521295575513259,1.3187831514728451e-79,True
LINC02691,9.291740959244478e-71,2.5200101432923496,4.645870479622239e-67,True
MYRIP,2.3960443811072863e-83,2.50980244547965,1.1980221905536432e-79,True
KLHL5,2.4129529952646197e-57,2.5082680877525485,1.2064764976323099e-53,True
MAP6,1.225951871807216e-94,2.504585619416567,6.12975935903608e-91,True
ATCAY,1.6444346021061794e-124,2.5032931711935826,8.222173010530896e-121,True
ARFGEF3,3.1085090050997836e-117,2.4993744812675107,1.554254502549892e-113,True
ARHGEF28,1.2142104055883054e-119,2.493033510436576,6.071052027941526e-116,True
TUBB2A,3.0157269344045686e-119,2.4889394007865397,1.5078634672022842e-115,True
NOL4,7.983283932399572e-103,2.4880809357091946,3.9916419661997855e-99,True
TENM4,3.616151099115301e-73,2.4875438355300017,1.8080755495576507e-69,True
ASTN2,9.049256659708313e-92,2.4844306154600675,4.5246283298541563e-88,True
ATP1A3,2.1935191514408625e-125,2.4838772404855067,1.0967595757204313e-121,True
OLFM1,9.695368850000547e-99,2.483402272620892,4.847684425000274e-95,True
MAGI2,4.252780501132039e-53,2.4828348179966913,2.1263902505660195e-49,True
NCS1,2.1624984370147894e-66,2.482821568366772,1.0812492185073947e-62,True
UCHL1,7.26098456723085e-137,2.480112783983442,3.630492283615425e-133,True
PLXNA4,3.4439938570502004e-72,2.474436109127579,1.7219969285251002e-68,True
NEFL,2.1926446145440607e-108,2.4637884992475523,1.0963223072720304e-104,True
GALR1,6.12017922783948e-91,2.4623637772287226,3.0600896139197402e-87,True
SCN2A,7.465828621215428e-77,2.4597363917702237,3.732914310607714e-73,True
CRMP1,2.1488480345298526e-121,2.4587894159625985,1.0744240172649264e-117,True
MTUS1,1.4411121617085521e-81,2.4577175515100405,7.205560808542761e-78,True
S100B,4.97666051912751e-230,2.4563784340651442,2.488330259563755e-226,True
NTRK3,2.1213312547540563e-47,2.455929067463596,1.0606656273770282e-43,True
XKR4,4.868295737448627e-214,2.4532252618416113,2.4341478687243133e-210,True
GABRB3,2.5589792510068995e-88,2.4492846776716477,1.2794896255034498e-84,True
MARCHF4,1.034225185782305e-83,2.445970918322442,5.171125928911524e-80,True
SRGAP3,2.0073993859247737e-56,2.444799183483978,1.0036996929623868e-52,True
DCLK1,1.2400241215254759e-133,2.443719752842447,6.200120607627379e-130,True
LINGO2,7.470470226597774e-84,2.443020112723412,3.735235113298887e-80,True
KIF26B,4.994317687978934e-89,2.435301117938429,2.497158843989467e-85,True
TUBB3,3.194245276850605e-137,2.430657839358224,1.5971226384253025e-133,True
