feature,p_val,A,fdr,signi
PTTG1,2.4556706465391811e-119,0.3879145784558506,1.2278353232695906e-115,True
PITPNC1,4.636356790468629e-203,0.38648687594427206,2.3181783952343146e-199,True
LTBP1,0.0,0.38462633119034106,0.0,True
MYO18B,0.0,0.381760558869645,0.0,True
REV3L,0.0,0.38132178697078656,0.0,True
SOX5,0.0,0.378560375609554,0.0,True
RRAD,8.720345018964172e-93,0.3783668849691385,4.360172509482086e-89,True
MEG3,4.1195418238995476e-113,0.3781924792796399,2.0597709119497738e-109,True
CADM1,0.0,0.3781844439715919,0.0,True
B2M,0.0,0.3760916863311769,0.0,True
PLEKHA5,0.0,0.37375386066032196,0.0,True
CUX2,4.827356948662894e-233,0.37211448528517566,2.413678474331447e-229,True
ADAMTS19,0.0,0.3657388868959405,0.0,True
DLC1,0.0,0.36483575128939516,0.0,True
ASAP1,0.0,0.36416495121028275,0.0,True
CTNND2,0.0,0.3613468053996643,0.0,True
PHIP,1.2967256933798086e-226,0.36119244509159554,6.4836284668990425e-223,True
NFIB,0.0,0.36104469626024716,0.0,True
TBX20,0.0,0.36026089306864506,0.0,True
VPS13D,3.2705753715933888e-239,0.3588826326663686,1.6352876857966943e-235,True
EXOC6B,0.0,0.35871061634605445,0.0,True
S100A4,4.883046551042973e-152,0.35728339433615613,2.4415232755214865e-148,True
ZFPM2,0.0,0.35589434265883346,0.0,True
MAGI2,0.0,0.35506033312709046,0.0,True
MACROD2,0.0,0.3532531416674103,0.0,True
STMN1,8.976901318069334e-196,0.3524709222383944,4.488450659034667e-192,True
EGFEM1P,0.0,0.35179943201399755,0.0,True
NEAT1,0.0,0.3508612569731023,0.0,True
NR2F2-AS1,0.0,0.3503217405854895,0.0,True
KIF13A,0.0,0.34636984675778615,0.0,True
MGAT5,0.0,0.34592568316196753,0.0,True
ATF3,1.379784847740889e-147,0.3458558934188313,6.898924238704445e-144,True
PLCL2,0.0,0.3456518988319016,0.0,True
PDE3A,0.0,0.3433794380192303,0.0,True
ATXN1,0.0,0.3430790124036868,0.0,True
FNDC3A,5.091954894840996e-250,0.3421778109723903,2.5459774474204977e-246,True
TTC28,0.0,0.3416575555859532,0.0,True
PDGFD,0.0,0.3398042192678849,0.0,True
VEGFA,1.7904370298292376e-234,0.3357955066216457,8.952185149146188e-231,True
