feature,p_val,A,fdr,signi
PLA2G5,0.0,0.6993734627965298,0.0,True
ADGRL3,0.0,0.6989313130298556,0.0,True
ADGRB3,0.0,0.6974717457609831,0.0,True
GRID2,0.0,0.6973061376958598,0.0,True
MAGI2,0.0,0.6971621230592935,0.0,True
C7,0.0,0.6940986283815074,0.0,True
CKS2,0.0,0.6820321031924846,0.0,True
LAMA4,0.0,0.6798341785869495,0.0,True
CRABP2,0.0,0.6771237069684924,0.0,True
SOX6,0.0,0.6709965144856794,0.0,True
CD34,0.0,0.6690447797729544,0.0,True
ZNF10,3.0831761158096353e-186,0.6687616243240291,1.5415880579048178e-182,True
ABI3BP,3.832834566917034e-214,0.6642588689250907,1.916417283458517e-210,True
JUN,0.0,0.6642025999807213,0.0,True
DISC1,6.042066258373999e-251,0.6633678768675214,3.0210331291869994e-247,True
CNTN4,0.0,0.6629968508876406,0.0,True
MOXD1,0.0,0.6623681284796511,0.0,True
PDZRN4,0.0,0.662254663650379,0.0,True
ZHX2,9.521508651203607e-110,0.6621654204567541,4.760754325601804e-106,True
NRK,0.0,0.6610357987304424,0.0,True
FHOD3,0.0,0.6604067545378915,0.0,True
CCN2,2.8642666762102614e-162,0.6573094253315179,1.4321333381051308e-158,True
KPNA2,9.160420532410214e-225,0.654304329557199,4.580210266205107e-221,True
S100A6,0.0,0.6506421471087631,0.0,True
CENPP,3.7454324427971017e-150,0.6497391700686215,1.8727162213985508e-146,True
MIR924HG,0.0,0.649208275703594,0.0,True
S100A4,1.6150097106169464e-130,0.6475130759470504,8.075048553084732e-127,True
CEBPD,0.0,0.6447425077856797,0.0,True
FRAS1,0.0,0.6440833163915456,0.0,True
IER3,0.0,0.6439298449245158,0.0,True
FNDC1,0.0,0.643928304454245,0.0,True
NCAM2,0.0,0.6418721643242322,0.0,True
ACSL4,5.303322815882775e-16,0.6383244786005522,2.6516614079413875e-12,True
PRRX1,0.0,0.6379090133409457,0.0,True
WARS2-AS1,1.1101987117047347e-29,0.637308138798615,5.550993558523674e-26,True
ASPM,0.0,0.6364578552529989,0.0,True
PDLIM5,2.1332036125443013e-151,0.6363231213767655,1.0666018062721507e-147,True
CACNA2D1,0.0,0.6359372354712802,0.0,True
CCN1,0.0,0.635605996709411,0.0,True
HTRA1,1.5173711085890106e-229,0.6320809445891347,7.586855542945054e-226,True
ROR1,0.0,0.6316979052212827,0.0,True
COL9A3,0.0,0.6304863261110766,0.0,True
RYR2,0.0,0.630295419738036,0.0,True
CDK1,0.0,0.630170751749233,0.0,True
FRMD4A,0.0,0.6296143479036508,0.0,True
EFNA5,0.0,0.6282155442912946,0.0,True
FBLN5,0.0,0.6279853398618596,0.0,True
HAS2,0.0,0.6249795785190643,0.0,True
AC020916.1,0.0,0.6211283142333259,0.0,True
STAT3,0.0,0.620839318234046,0.0,True
GPR158,0.0,0.6207075788053609,0.0,True
ACSS3,0.0,0.6199930877591948,0.0,True
APCDD1,0.0,0.6196594611089274,0.0,True
IL1RAPL1,0.0,0.6189853780695527,0.0,True
DOCK9,2.5482645633278836e-115,0.6180907434543446,1.2741322816639419e-111,True
ITGA1,0.0,0.6169181669052578,0.0,True
BAMBI,0.0,0.616773911552761,0.0,True
AGT,0.0,0.616533334637286,0.0,True
LINC00882,0.0,0.6158663820160968,0.0,True
RSPO3,0.0,0.6155497124338465,0.0,True
TYMS,0.0,0.6144662750717205,0.0,True
AL109930.1,0.0,0.612795114328401,0.0,True
LINC01619,0.0,0.6117566795190568,0.0,True
NPY,1.1185766583907534e-112,0.6087074927941081,5.592883291953767e-109,True
EDNRA,0.0,0.6071519551726303,0.0,True
SOX5,0.0,0.6042163430484323,0.0,True
SLCO1C1,1.5644384829835545e-211,0.6035002787813568,7.822192414917773e-208,True
PPP1R15A,0.0,0.6034531353581792,0.0,True
NAMPT,0.0,0.6025297321994072,0.0,True
RHOB,9.311446316505707e-240,0.59971855988846,4.655723158252854e-236,True
CTSK,0.0,0.5997038493376371,0.0,True
DPP10,0.0,0.5980548297914031,0.0,True
BTG2,0.0,0.5968207084993915,0.0,True
THSD7A,4.7709136345132813e-278,0.5939780312655184,2.3854568172566404e-274,True
ZNF385D,0.0,0.5927931217506254,0.0,True
LGR4,0.0,0.5895899384002284,0.0,True
PTPRT,0.0,0.588405016728847,0.0,True
ARL15,4.307881521252459e-129,0.5862708173598867,2.1539407606262298e-125,True
KCNQ5,0.0,0.5861266696777463,0.0,True
IRF1,0.0,0.5854626679355184,0.0,True
DNAJB1,1.607966575439914e-167,0.584604892170699,8.03983287719957e-164,True
EZH2,0.0,0.5846016049474221,0.0,True
ITGBL1,4.1040939899627403e-84,0.5832048745225831,2.05204699498137e-80,True
KIF26B,0.0,0.5827284950100394,0.0,True
ABCA6,0.0,0.5798065240965282,0.0,True
TUBA1C,3.88106408140179e-195,0.5791109330330513,1.940532040700895e-191,True
PDK4,3.2621111822078014e-119,0.5779540232996171,1.6310555911039008e-115,True
ETV1,0.0,0.57793859245926,0.0,True
PRLR,0.0,0.5771304215282929,0.0,True
GUCY1A2,0.0,0.5745369059431518,0.0,True
CHRM3,2.005437129779792e-195,0.5743313280941632,1.002718564889896e-191,True
PPP2R2B,1.2683682562215209e-113,0.5732391186633217,6.341841281107605e-110,True
ALDH1A2,0.0,0.5730596969936473,0.0,True
GADD45B,0.0,0.5719300334373024,0.0,True
HMGB3,1.550299482192174e-282,0.5701198131334038,7.75149741096087e-279,True
AL117190.2,0.0,0.5685660450712765,0.0,True
TULP2,0.0,0.567957928726136,0.0,True
HOMER1,0.0,0.5677945673587306,0.0,True
CCN3,0.0,0.5671240870881806,0.0,True
PLCB1,0.0,0.5663670998977708,0.0,True
TMEM132C,0.0,0.566242601853853,0.0,True
CLCN3P1,0.0,0.566101479103007,0.0,True
TSPO,0.0,0.5640276346450334,0.0,True
MYL7,7.258300591906289e-54,0.5632755984879712,3.6291502959531446e-50,True
SEMA3D,0.0,0.5632712710308541,0.0,True
COL9A1,0.0,0.5626125368249583,0.0,True
FRZB,2.1562807046094214e-268,0.5620123297391085,1.0781403523047107e-264,True
FRMD5,0.0,0.561457981267859,0.0,True
DUSP1,0.0,0.5608461822431439,0.0,True
IGFBP2,0.0,0.5603150190670648,0.0,True
PDZD2,0.0,0.5600688649383043,0.0,True
NELL1,1.0992196191011377e-160,0.5598203173773225,5.496098095505688e-157,True
CCNB1,0.0,0.5574147085530261,0.0,True
PDE1C,0.0,0.5570178823827101,0.0,True
GBE1,1.0726311083884997e-34,0.556515265195233,5.363155541942498e-31,True
CRIP2,1.4149167729328693e-232,0.5550740955730856,7.074583864664347e-229,True
ID4,0.0,0.554014376750526,0.0,True
AL118558.1,0.0,0.5537225733492478,0.0,True
ERRFI1,0.0,0.5483455620608654,0.0,True
FAM13C,0.0,0.5471521157394312,0.0,True
ECT2,0.0,0.5461069363393537,0.0,True
AC244230.2,6.48022500628195e-26,0.5460282651938394,3.2401125031409754e-22,True
BRIP1,0.0,0.5458465099414038,0.0,True
PIEZO2,0.0,0.5454854553824846,0.0,True
CRADD,3.0279317984120476e-11,0.5436413840354613,1.5139658992060237e-07,True
MEF2C,0.0,0.5431380245413973,0.0,True
HHIP,0.0,0.5426668003294862,0.0,True
ELOVL5,0.0,0.5423582573530399,0.0,True
MYRIP,0.0,0.5418187846434864,0.0,True
KAZN,0.0,0.5411317088115306,0.0,True
KNL1,0.0,0.5404185913428498,0.0,True
CRIM1,5.601458796667734e-76,0.5398467046444742,2.800729398333867e-72,True
PCOLCE2,1.2436867284002808e-121,0.5385997249198363,6.218433642001404e-118,True
BIRC5,0.0,0.5379318882498993,0.0,True
NR4A2,9.363999295319747e-250,0.536846402996069,4.681999647659873e-246,True
LRP1B,0.0,0.5360487223091716,0.0,True
SLC22A3,0.0,0.5353802852761176,0.0,True
BRINP3,0.0,0.5340596559785933,0.0,True
PELI2,3.858514075531168e-38,0.5325982323303103,1.929257037765584e-34,True
NTRK2,0.0,0.5324691590325584,0.0,True
IL32,0.0,0.5310209357318587,0.0,True
EFNB2,0.0,0.5303591879358772,0.0,True
LINC01004,1.1827868123921457e-218,0.5303164997694964,5.913934061960728e-215,True
SYNPO2,0.0,0.5299124165239828,0.0,True
ENG,0.0,0.5278225708070171,0.0,True
MARCHF3,9.769076623958618e-179,0.5270195773518788,4.884538311979309e-175,True
CYTL1,1.9980362092268946e-271,0.5259653706224126,9.990181046134472e-268,True
NR2F2,0.0,0.5253516792410065,0.0,True
SLC10A1,0.0,0.5251293172843153,0.0,True
MKI67,0.0,0.5248465707372755,0.0,True
TSPAN5,0.0,0.524054330332481,0.0,True
IGFBP6,1.7928339697199392e-231,0.5233526319270974,8.964169848599695e-228,True
EPHA7,0.0,0.5231238462124238,0.0,True
CARMIL1,2.0906460413487783e-199,0.5201574384235943,1.0453230206743891e-195,True
GUCY1A1,0.0,0.5195282432781654,0.0,True
NRP1,0.0,0.5180738522245664,0.0,True
BACH2,0.0,0.5178574536846916,0.0,True
INHBA,0.0,0.5174379791345431,0.0,True
ADARB1,0.0,0.5171830843529275,0.0,True
RFC3,3.3803946490828697e-186,0.5148418042897298,1.6901973245414348e-182,True
CCNB2,0.0,0.5147184680690404,0.0,True
KHDRBS2,1.1180256519939976e-168,0.5144570605003287,5.590128259969988e-165,True
PDE4C,0.0,0.5143989888908617,0.0,True
CDC20,0.0,0.5142060129860347,0.0,True
NFKBIZ,1.0299692995601559e-287,0.5125888275491807,5.1498464978007794e-284,True
TNIK,3.286135409237724e-285,0.5122954810145206,1.6430677046188622e-281,True
ATP13A3,0.0,0.5120567308902207,0.0,True
PRKCG,0.0,0.5115729385405273,0.0,True
PRICKLE1,0.0,0.5110751796673657,0.0,True
PLCL1,0.0,0.5091358426665527,0.0,True
HES4,0.0,0.5089795659797791,0.0,True
TMEFF2,0.0,0.508892153107892,0.0,True
SLC8A1,6.46729602704656e-275,0.5076877103495756,3.23364801352328e-271,True
CCDC3,0.0,0.5061580977364925,0.0,True
ADAMTSL2,0.0,0.5058967020329497,0.0,True
PRIM2,4.0554541635511444e-130,0.5047760811559243,2.0277270817755723e-126,True
TGFBR3,0.0,0.504469809445127,0.0,True
DES,0.0,0.5031869552564399,0.0,True
ANLN,0.0,0.5030847146950169,0.0,True
DIAPH2,1.9487643932204337e-129,0.5022704600912453,9.743821966102168e-126,True
CELF2,0.0,0.4999299656218129,0.0,True
CRYBG3,0.0,0.4998674815658736,0.0,True
COLEC11,0.0,0.4976803818680633,0.0,True
CD9,0.0,0.4968555887779443,0.0,True
TK1,9.149231852556645e-214,0.49581956393605,4.574615926278323e-210,True
MAD2L1,0.0,0.4946496147156071,0.0,True
LSAMP,0.0,0.49417745594201273,0.0,True
